Название,Дата выхода,Конфигурация памяти,"Энергопотребление, Вт","Far Cry 5, FPS","Fallout 4, FPS","The Witcher 3, FPS",3DMark Cloud Gate,3DMark Fire Strike,"Средняя цена, ₽"
GTX 950,20 августа 2015 г.,2GB GDDR5,90,29,27,28,13176,5605,0
GTX 960,22 Января 2015,4GB GDDR5,120,43,35,33,16891,6199,0
GTX 970,18 Сентября 2014,4GB GDDR5,150,60,57,50,24740,8963,0
GTX 980,18 Сентября 2014,4GB GDDR5,165,72,69,67,32178,10398,0
GTX 980 Ti,1 Июня 2015,6GB GDDR5,250,92,77,79,38631,14339,0
GTX 1050,25 октября 2016 г.,2GB GDDR5,75,34,34,29,15465,5507,10500
GTX 1050 Ti,25 октября 2016 г.,4GB GDDR5,75,44,37,35,17093,6210,13000
GTX 1060,18 августа 2016 г.,3GB GDDR5,120,64,59,52,25396,9518,17500
GTX 1060,08 июля 2016 г.,6GB GDDR5/X,130,68,63,57,27113,10400,21000
GTX 1070 ,10 июня 2016 г.,8GB GDDR5,150,91,79,82,39037,15236,29000
GTX 1070 Ti,02 ноября 2017 г.,8GB GDDR5,180,95,81,90,40529,16068,37000
GTX 1080,27 мая 2016 г.,8GB GDDR5X,180,98,85,98,44974,17511,44000
GTX 1080 Ti,10 марта 2017 г.,11GB GDDR5X,250,101,89,120,58930,23218,60000
GTX 2060 ,15 января 2019,6GB GDDR6,160,96,82,92,39890,15421,30000
GTX 2070 ,17 октября 2018,8GB GDDR6,185,98,95,106,46446,17421,40000
GTX 2080 ,20 сентября 2018,8GB GDDR6,225,101,96,132,54787,21971,60000
GTX 2080 Ti,20 сентября 2018,11GB GDDR6,260,105,103,141,68351,26166,85000
